blockNumber,timeStamp,value,functionName
2627289,1714064393,1.17205,mint()
2649188,1714108191,1.13793,mint()
2651019,1714111853,1.1427,mint()
2651110,1714112035,1.15084,mint()
2651199,1714112213,1.15905,mint()
2651255,1714112325,1.16739,mint()
2651392,1714112599,1.17562,mint()
2675282,1714160379,1.13759,mint()
2678296,1714166407,1.1401,mint()
2681865,1714173545,1.14154,mint()
2685240,1714180295,1.14335,mint()
2689407,1714188629,1.14364,mint()
2689463,1714188741,1.15186,mint()
2691236,1714192287,1.1568,mint()
2694986,1714199787,1.15791,mint()
2713110,1714236035,1.13137,mint()
2719774,1714249363,1.12692,mint()
2724220,1714258255,1.12669,mint()
2724230,1714258275,1.12667,mint()
2740802,1714291419,1.10372,mint()
2745001,1714299817,1.10394,mint()
2749093,1714308001,1.10436,mint()
2757431,1714324677,1.09694,mint()
2757529,1714324873,1.10475,mint()
2763238,1714336291,1.10219,mint()
2764156,1714338127,1.10848,mint()
2767356,1714344527,1.11057,mint()
2767450,1714344715,1.11848,mint()
2767466,1714344747,1.1266,mint()
2767488,1714344791,1.13476,mint()
2769169,1714348153,1.1398,mint()
2769392,1714348599,1.14768,mint()
2770447,1714350709,1.15399,mint()
2772718,1714355251,1.15797,mint()
2772744,1714355303,1.15791,mint()
2779189,1714368193,1.1538,mint()
2795189,1714400193,1.13138,mint()
2796281,1714402377,1.13752,mint()
2797221,1714404257,1.144,mint()
2802480,1714414775,1.1422,mint()
2802503,1714414821,1.14215,mint()
2803534,1714416883,1.14848,mint()
2805935,1714421685,1.15218,mint()
2815810,1714441435,1.14149,mint()
2818547,1714446909,1.14452,mint()
2818553,1714446921,1.15285,mint()
